sender_id;receiver_id;influence_x;influence_y
1;;0.503289474;0.501644737
2;28;0.721491228;0.697368421
2;9;0.749269006;0.399671053
2;54;0.591374269;0.85252193
2;14;0.426535088;0.676535088
2;19;0.615131579;0.17379386
2;120;0.575292398;0.70504386
2;;0.493055556;0.495614035
3;18;0.408991228;0.563048246
3;12;0.599415205;0.758223684
3;19;0.397660819;0.253289474
3;14;0.588084795;0.4375
4;3;0.293128655;0.728070175
4;120;0.373538012;0.606907895
4;;0.599415205;0.657346491
5;14;0.495202952;0.486857826
5;28;0.636900369;0.475507766
5;104;0.538376384;0.127240143
5;121;0.476752768;0.120669056
6;;0.359778598;0.491039427
6;29;0.630258303;0.462962963
6;30;0.518450185;0.714456392
7;21;0.623247232;0.554958184
7;18;0.613284133;0.375746714
7;6;0.724723247;0.405017921
7;12;0.63800738;0.797491039
7;22;0.50701107;0.520908005
7;14;0.546863469;0.686379928
7;19;0.401476015;0.69474313
8;14;0.549329124;0.54736211
8;122;0.461325967;0.509592326
9;22;0.547880117;0.785294118
9;14;0.433845029;0.731764706
10;123;0.503321033;0.505376344
11;8;0.515498155;0.64516129
11;24;0.411070111;0.745519713
12;21;0.509601182;0.723684211
12;3;0.595642541;0.791267943
12;19;0.389955687;0.647129187
12;9;0.317577548;0.50777512
12;14;0.49704579;0.498803828
13;120;0.365862573;0.442982456
14;7;0.560147601;0.563918757
14;27;0.485239852;0.634408602
14;28;0.431365314;0.504778973
14;3;0.556826568;0.721027479
14;2;0.45202952;0.591995221
14;9;0.441328413;0.700716846
14;19;0.619557196;0.613500597
14;21;0.62103321;0.43130227
14;15;0.551291513;0.33213859
14;16;0.399261993;0.405017921
14;18;0.482656827;0.344683393
15;14;0.486706056;0.552033493
15;18;0.579394387;0.650119617
15;21;0.687961595;0.70215311
16;21;0.441697417;0.702508961
16;14;0.596678967;0.669056153
18;18;0.394095941;0.529868578
18;24;0.683394834;0.629032258
18;14;0.501476015;0.498805257
18;6;0.567527675;0.470728793
19;14;0.495940959;0.480286738
19;18;0.616236162;0.615890084
19;7;0.685608856;0.701911589
19;2;0.366051661;0.408004779
20;27;0.728413284;0.449820789
20;7;0.676383764;0.290919952
20;17;0.428413284;0.681003584
20;12;0.599630996;0.599761051
20;9;0.722509225;0.632616487
20;15;0.653505535;0.742532855
20;14;0.372693727;0.508363202
20;19;0.333948339;0.761648746
21;6;0.666051661;0.764038232
21;14;0.504797048;0.638590203
22;14;0.495202952;0.513739546
23;21;0.487084871;0.707287933
23;28;0.606642066;0.653524492
23;18;0.446863469;0.554958184
23;19;0.473800738;0.428315412
23;14;0.506642066;0.509557945
23;55;0.636900369;0.470728793
27;19;0.362938596;0.631578947
27;14;0.491593567;0.491776316
27;22;0.566154971;0.565241228
27;5;0.494517544;0.655153509
27;28;0.654239766;0.64747807
27;21;0.685307018;0.462171053
27;1;0.608552632;0.25
28;14;0.491593567;0.448464912
28;27;0.353435673;0.527412281
28;9;0.40497076;0.667763158
28;54;0.617690058;0.621710526
28;30;0.505116959;0.561403509
